Kingdom,Phylum,Class,Order,Family,Genus
Eukaryota,Kathablepharidae,,,,
Eukaryota,Apusomonadidae,,,,
Eukaryota,Telonema,,,,
Eukaryota,Holozoa,Choanomonada,,,
Eukaryota,Holozoa,Filasterea,Ministeriida,Capsasporidae,
Eukaryota,,,,,
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gyrodinium,
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Incertae Sedis,Apicoporus
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,Islandinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,Oblea
Eukaryota,Rhizaria,Cercozoa,Cercomonadidae,Cercomonas,
Eukaryota,Rhizaria,Cercozoa,Glissomonadida,Heteromita,
Eukaryota,Rhizaria,Cercozoa,Granofilosea,Massisteria,Massisteria marina
Eukaryota,Rhizaria,Cercozoa,Imbricatea,Silicofilosea,Thaumatomonadida
Eukaryota,Rhizaria,Cercozoa,Imbricatea,Spongomonadida,Spongomonas
Eukaryota,Rhizaria,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae
Eukaryota,Rhizaria,Cercozoa,Thecofilosea,Ebriacea,Ebria
Eukaryota,Stramenopiles,Bicosoecida,,,
Eukaryota,Stramenopiles,MAST-1,,,
Eukaryota,Stramenopiles,MAST-11,,,
Eukaryota,Stramenopiles,MAST-12,,,
Eukaryota,Stramenopiles,MAST-2,,,
Eukaryota,Stramenopiles,MAST-3,,,
Eukaryota,Stramenopiles,MAST-4,,,
Eukaryota,Stramenopiles,MAST-6,,,
Eukaryota,Stramenopiles,MAST-7,,,
Eukaryota,Stramenopiles,MAST-8,,,
Eukaryota,,Ochrophyta,Chrysophyceae,Ochromonadales,
